k size add contains remove
2 100000 6708 7536 0
5 100000 10597 11960 0
8 100000 12350 14342 0
11 100000 15341 18176 0
14 100000 16046 19443 0
17 100000 18226 22368 0
20 100000 21567 27013 0
23 100000 24294 30939 0
26 100000 24351 31212 0
29 100000 24601 31421 0
32 100000 29381 36879 0
35 100000 31352 40186 0
38 100000 33763 43809 0
41 100000 35977 47772 0
44 100000 37333 50298 0
47 100000 38276 52997 0
50 100000 38874 55153 0
53 100000 38702 56261 0
56 100000 38157 56611 0
59 100000 37663 56366 0
62 100000 37524 56447 0
65 100000 38692 58431 0
68 100000 39876 60198 0
71 100000 40593 61298 0
74 100000 41529 62514 0
77 100000 41307 62902 0
80 100000 40943 63370 0
83 100000 42400 65499 0
86 100000 42364 66434 0
89 100000 43164 67744 0
92 100000 44262 68826 0
95 100000 45138 68759 0
98 100000 45592 68951 0
101 100000 45664 68881 0
104 100000 46349 69356 0
107 100000 28992 68890 0
110 100000 26495 68901 0
113 100000 25797 70013 0
116 100000 25434 72990 0
119 100000 24239 73970 0
122 100000 23810 75899 0
125 100000 23423 75695 0
128 100000 22712 78094 0
131 100000 23125 80894 0
134 100000 22316 83286 0
137 100000 21952 86941 0
140 100000 21339 88845 0
143 100000 21351 90032 0
146 100000 9561 94300 0
149 100000 8382 97689 0
152 100000 7075 100717 0
155 100000 1290 1236 0
158 100000 1321 1215 0
161 100000 1336 1190 0
164 100000 1333 1242 0
167 100000 1359 1268 0
170 100000 1358 1234 0
173 100000 1359 1308 0
176 100000 1379 1311 0
179 100000 1409 1314 0
182 100000 1379 1333 0
185 100000 1416 1349 0
188 100000 1411 1336 0
191 100000 1413 1370 0
194 100000 1464 1326 0
197 100000 1385 1300 0
200 100000 1403 1362 0
203 100000 1426 1346 0
206 100000 1417 1384 0
209 100000 1428 1354 0
212 100000 1450 1373 0
215 100000 1444 1364 0
218 100000 1423 1352 0
221 100000 1466 1380 0
224 100000 1465 1383 0
227 100000 1486 1395 0
230 100000 1487 1382 0
233 100000 1489 1423 0
236 100000 1477 1415 0
239 100000 1506 1432 0
242 100000 1505 1426 0
245 100000 1479 1382 0
248 100000 1520 1447 0
251 100000 1506 1440 0
254 100000 1541 1466 0
257 100000 1508 1461 0
260 100000 1549 1477 0
263 100000 1512 1509 0
266 100000 1618 1344 0
269 100000 1612 1456 0
272 100000 1561 1488 0
275 100000 1591 1507 0
278 100000 1570 1508 0
281 100000 1608 1514 0
284 100000 1594 1529 0
287 100000 1615 1521 0
290 100000 1609 1532 0
293 100000 1599 1489 0
296 100000 1642 1541 0
299 100000 1640 1571 0
302 100000 1643 1568 0
305 100000 1657 1574 0
308 100000 1681 1574 0
311 100000 1663 1585 0
314 100000 1662 1524 0
317 100000 1683 1591 0
320 100000 1711 1592 0
323 100000 1717 1582 0
326 100000 1704 1602 0
329 100000 1738 1624 0
332 100000 1753 1601 0
335 100000 1762 1620 0
338 100000 1730 1675 0
341 100000 1722 1608 0
344 100000 1762 1641 0
347 100000 1764 1656 0
350 100000 1795 1669 0
353 100000 1817 1654 0
356 100000 1796 1685 0
359 100000 1786 1711 0
362 100000 1800 1666 0
365 100000 1805 1709 0
368 100000 1833 1716 0
371 100000 1854 1716 0
374 100000 1836 1715 0
377 100000 1870 1744 0
380 100000 1876 1724 0
383 100000 1876 1750 0
386 100000 1871 1745 0
389 100000 1871 1713 0
392 100000 1890 1764 0
395 100000 1901 1763 0
398 100000 1908 1788 0
401 100000 1936 1786 0
404 100000 1902 1810 0
407 100000 2014 1726 0
410 100000 1950 1753 0
413 100000 1966 1805 0
416 100000 1951 1805 0
419 100000 1964 1826 0
422 100000 1978 1816 0
425 100000 1981 1833 0
428 100000 1986 1837 0
431 100000 1999 1871 0
434 100000 2013 1837 0
437 100000 1969 1824 0
440 100000 2016 1871 0
443 100000 2016 1874 0
446 100000 2034 1878 0
449 100000 2037 1875 0
452 100000 2047 1892 0
455 100000 2078 1881 0
458 100000 2019 1893 0
461 100000 2078 1906 0
464 100000 2085 1911 0
467 100000 2098 1921 0
470 100000 2089 1931 0
473 100000 2097 1933 0
476 100000 2151 1912 0
479 100000 2127 1979 0
482 100000 2119 1979 0
485 100000 2106 1939 0
488 100000 2123 1989 0
491 100000 2155 1975 0
494 100000 2157 1996 0
497 100000 2158 2000 0
500 100000 2170 2014 0

