k,add,contains,remove
2, 2604, 1008, 1107
5, 1235, 987, 963
8, 1112, 991, 1010
11, 1207, 1094, 1080
14, 1226, 1010, 1029
17, 1145, 1004, 1023
20, 1058, 1024, 1150
23, 1135, 1146, 1044
26, 1105, 1080, 1030
29, 1119, 1087, 1040
32, 1121, 1114, 1096
35, 1070, 1104, 1152
38, 1185, 1023, 1107
41, 1206, 1166, 1045
44, 1176, 1080, 1040
47, 1057, 1132, 1031
50, 1245, 1035, 1107
53, 1127, 1041, 1164
56, 1161, 1094, 1065
59, 1109, 1207, 1109
62, 1070, 1056, 1220
65, 1133, 1096, 1156
68, 1090, 1159, 1236
71, 1164, 1026, 1044
74, 1113, 1099, 1093
77, 1136, 1091, 1097
80, 1134, 1018, 1091
83, 1134, 1115, 1175
86, 1150, 1090, 1040
89, 1117, 1044, 1158
92, 1049, 1028, 1148
95, 1197, 1105, 1198
98, 1061, 1094, 1234
101, 1066, 1077, 1102
104, 1059, 1076, 1109
107, 1058, 1023, 1149
110, 1060, 1079, 1172
113, 1096, 904, 1131
116, 1175, 1036, 1287
119, 1225, 1026, 1047
122, 1077, 1107, 1152
125, 1076, 1152, 1108
128, 1185, 1112, 1101
131, 1107, 1041, 1156
134, 1071, 1133, 1115
137, 1052, 1085, 1106
140, 1187, 1080, 1039
143, 1182, 1026, 1092
146, 1212, 1168, 1135
149, 1048, 1035, 1147
152, 1164, 1096, 1171
155, 1107, 1100, 1033
158, 1176, 1031, 1083
161, 1107, 1022, 1100
164, 1092, 1086, 1222
167, 1175, 1087, 1067
170, 1118, 1078, 1107
173, 1105, 1021, 1091
176, 1059, 1084, 1093
179, 1110, 1035, 1166
182, 1179, 1097, 1209
185, 1045, 972, 1184
188, 1283, 1097, 1128
191, 1133, 1045, 1149
194, 1119, 1031, 1163
197, 1165, 1027, 1031
200, 1081, 1087, 1177
203, 1145, 1102, 1165
206, 1114, 1039, 1141
209, 1134, 1156, 1107
212, 1260, 1060, 1104
215, 1228, 1066, 1052
218, 1106, 1027, 1095
221, 1056, 1076, 1094
224, 1042, 1073, 1081
227, 1214, 1193, 1095
230, 1159, 1046, 1032
233, 1700, 1187, 1449
236, 1232, 1029, 1055
239, 1133, 1096, 1162
242, 1050, 1094, 1152
245, 1247, 1034, 1036
248, 1196, 1050, 1111
251, 1173, 1023, 1096
254, 1117, 1030, 1162
257, 1169, 1080, 1034
260, 1110, 1032, 1082
263, 1182, 1082, 1116
266, 1113, 1027, 1155
269, 1158, 980, 1102
272, 1147, 1018, 1030
275, 1052, 1065, 1075
278, 1124, 1148, 1061
281, 1167, 1053, 1194
284, 1196, 1051, 1096
287, 1219, 1068, 1031
290, 1052, 973, 1188
293, 1155, 1164, 1109
296, 1184, 1028, 1176
299, 1114, 1029, 1090
302, 1057, 1109, 1177
305, 1253, 1163, 1124
308, 1132, 1106, 1148
311, 1121, 1078, 1102
314, 1211, 1012, 1087
317, 1128, 1084, 1114
320, 1197, 1161, 1137
323, 1173, 973, 1143
326, 1195, 1031, 1088
329, 1173, 1099, 1043
332, 1116, 1150, 1125
335, 1155, 1043, 1128
338, 1115, 1036, 1237
341, 1220, 1129, 1059
344, 1133, 1156, 1083
347, 1133, 1101, 1240
350, 1165, 1041, 1138
353, 1327, 1025, 1032
356, 1159, 1170, 1093
359, 1187, 1080, 1043
362, 1229, 1044, 1120
365, 1170, 1153, 1064
368, 1207, 1058, 1089
371, 1179, 1103, 1097
374, 1183, 1104, 1129
377, 1103, 1028, 1151
380, 1124, 1047, 1149
383, 1101, 1091, 1104
386, 1106, 1089, 1114
389, 1126, 1092, 1092
392, 1125, 1104, 1112
395, 1131, 1086, 1095
398, 1116, 1112, 1121
401, 1057, 1062, 1077
404, 1186, 1112, 1184
407, 1098, 1013, 1097
410, 1124, 1222, 1038
413, 1229, 1102, 985
416, 1226, 988, 1167
419, 1190, 903, 1090
422, 986, 1007, 1122
425, 1050, 1094, 1084
428, 1151, 1026, 1041
431, 1102, 1074, 1110
434, 1124, 1024, 1138
437, 1164, 1030, 1031
440, 1133, 1165, 1195
443, 1104, 1015, 1090
446, 1186, 1026, 1100
449, 1151, 1094, 1167
452, 1201, 914, 1091
455, 1181, 1155, 1057
458, 1088, 1261, 1053
461, 1103, 1012, 1187
464, 1150, 1023, 1037
467, 1109, 1029, 1108
470, 1061, 1138, 1116
473, 1061, 1201, 1043
476, 1175, 1027, 1042
479, 1124, 1171, 1122
482, 1100, 1099, 1119
485, 1229, 985, 1126
488, 1172, 1083, 1109
491, 1104, 1077, 1028
494, 1040, 1013, 1089
497, 1103, 1133, 992
500, 1110, 1034, 1147

