k size add contains remove
20 10000 24 16 16
20 20000 58 38 39
20 30000 101 72 70
20 40000 161 115 114
20 50000 232 167 163
20 60000 309 220 217
20 70000 391 287 282
20 80000 476 348 340
20 90000 562 423 415
20 100000 654 489 487
20 110000 746 567 563
20 120000 833 629 629
20 130000 939 721 720
20 140000 1035 790 787
20 150000 1140 891 878
20 160000 1247 969 958
20 170000 1347 1056 1051
20 180000 1441 1121 1108
20 190000 1558 1221 1216
20 200000 1660 1302 1296
20 210000 1798 1365 1358
20 220000 1882 1469 1466
20 230000 1993 1506 1503
20 240000 2075 1608 1611
20 250000 2237 1663 1666
20 260000 2309 1774 1762
20 270000 2404 1854 1862
20 280000 2606 1994 1987
20 290000 2665 2074 2062
20 300000 2790 2194 2185
20 310000 2922 2179 2178
20 320000 3020 2260 2256
20 330000 3100 2392 2391
20 340000 3272 2556 2559
20 350000 3399 2677 2685
20 360000 3574 2691 2677
20 370000 3642 2795 2780
20 380000 3735 2875 2881
20 390000 3871 2959 2972
20 400000 3955 3063 3068
20 410000 4038 3059 3064
20 420000 4170 3153 3167
20 430000 4255 3267 3279
20 440000 4394 3378 3385
20 450000 4435 3472 3482
20 460000 4604 3543 3537
20 470000 4894 3598 3607
20 480000 4985 3702 3719
20 490000 5130 3829 3846
20 500000 5317 3892 3911
20 510000 5196 3885 3902
20 520000 5326 3979 3980
20 530000 5473 4119 4131
20 540000 5574 4251 4255
20 550000 5692 4256 4243
20 560000 6023 4473 4493
20 570000 6339 4468 4496
20 580000 6355 4454 4435
20 590000 6029 4717 4717
20 600000 6201 4766 4787
20 610000 6288 4932 4937
20 620000 6519 4853 4862
20 630000 6617 4891 4888
20 640000 6710 4971 5000
20 650000 7265 5182 5201
20 660000 6980 5321 5334
20 670000 7593 5354 5373
20 680000 7386 5332 5351
20 690000 7496 5494 5490
20 700000 7470 5684 5701
20 710000 7531 5732 5738
20 720000 7769 5982 6008
20 730000 7785 5929 5927
20 740000 8087 5948 5961
20 750000 8088 6060 6067
20 760000 8264 6149 6159
20 770000 8315 6304 6330
20 780000 8544 6391 6408
20 790000 8679 6426 6433
20 800000 9738 7470 7684
20 810000 8739 6739 6773
20 820000 8925 6787 6901
20 830000 9752 7079 7115
20 840000 10050 7255 7289
20 850000 9526 6705 6737
20 860000 10160 7091 7185
20 870000 10187 7222 7276
20 880000 9918 7118 7168
20 890000 10414 7419 7468
20 900000 9985 7252 7282
20 910000 10133 7370 7375
20 920000 10171 7632 7644
20 930000 10445 7717 7680
20 940000 10484 7660 7686
20 950000 10716 7752 7787
20 960000 11418 8080 8133
20 970000 11635 8230 8319
20 980000 10838 8051 8081
20 990000 11083 8174 8195
20 1000000 11297 8203 8245

