k add contains remove
2  2343  989  1003
5  1513  914  978
8  1460  1125  995
11  1624  943  958
14  1359  982  989
17  1606  763  872
20  1607  1128  975
23  1563  873  983
26  1504  979  919
29  1425  986  984
32  1344  972  1006
35  1428  973  937
38  1447  1149  1007
41  1354  926  1103
44  1462  934  987
47  1369  977  1057
50  1495  953  977
53  1485  920  987
56  1352  981  999
59  1487  1009  1003
62  1389  923  941
65  1472  995  1015
68  1517  871  1001
71  1464  887  1051
74  1507  943  949
77  1500  936  1076
80  1400  926  993
83  1467  1004  962
86  1364  1043  990
89  1453  1140  1011
92  1462  963  992
95  1527  1000  977
98  1453  1007  1014
101  1330  1090  1004
104  1346  1012  1044
107  1431  1043  929
110  1483  993  963
113  1516  933  1169
116  1453  996  947
119  1401  977  1002
122  1445  942  928
125  1418  984  1011
128  1290  1035  993
131  1700  935  875
134  1420  1062  932
137  1455  932  986
140  1504  997  999
143  1395  937  987
146  1416  977  987
149  1456  935  999
152  1466  944  990
155  1535  906  1005
158  1449  1055  994
161  1532  922  1014
164  1489  994  1012
167  1489  930  988
170  1444  982  1002
173  1524  976  885
176  1428  987  1003
179  1409  1001  1004
182  1476  879  1054
185  1470  943  998
188  1532  1052  1122
191  1561  952  998
194  1376  986  1059
197  1582  896  1009
200  1612  928  850
203  1358  1079  1065
206  1351  1043  1002
209  1405  983  1011
212  1363  997  1064
215  1466  1006  958
218  1284  1107  994
221  1401  974  1011
224  1395  927  1008
227  1376  923  1045
230  1284  977  1051
233  1397  912  892
236  1407  1053  983
239  1383  875  994
242  1277  983  1086
245  1495  924  947
248  1387  969  968
251  1378  936  993
254  1341  1055  1047
257  1413  997  993
260  1403  881  1062
263  1582  1004  847
266  1400  914  992
269  1385  928  1008
272  1438  877  988
275  1504  928  1069
278  1371  1042  1055
281  1416  978  995
284  1465  922  994
287  1512  1008  1059
290  1491  886  1051
293  1367  973  991
296  1448  919  937
299  1488  927  990
302  1521  989  1030
305  1467  922  1000
308  1544  882  1007
311  1579  951  1084
314  1490  926  985
317  1518  920  889
320  1526  997  963
323  1495  985  992
326  1585  928  976
329  1406  999  995
332  1551  983  954
335  1571  882  1126
338  1512  979  933
341  1480  990  1026
344  1426  921  1044
347  1478  1077  952
350  1478  950  1018
353  1481  921  1021
356  1380  1004  1061
359  1397  968  1058
362  1654  963  990
365  1443  1013  1138
368  1445  986  997
371  1472  880  992
374  1594  880  1057
377  1320  1119  1072
380  1609  906  1016
383  1461  1081  1077
386  1571  928  1016
389  1613  981  1108
392  1432  1037  948
395  1491  994  1014
398  1481  1012  1016
401  1577  941  1005
404  1397  997  998
407  1538  982  897
410  1488  1055  957
413  1472  1012  1012
416  1620  947  1019
419  1411  1002  1002
422  1447  869  986
425  1542  894  1054
428  1366  997  1139
431  1280  1033  992
434  1329  987  993
437  1395  974  1003
440  1335  901  1113
443  1321  934  1070
446  1399  921  1003
449  1330  1058  1010
452  1284  1057  1087
455  1322  1064  1100
458  1375  948  1016
461  1269  973  985
464  1271  929  1120
467  1352  970  942
470  1321  981  1007
473  1367  1002  946
476  1363  932  1001
479  1338  982  989
482  1260  967  995
485  1358  876  1062
488  1393  1012  999
491  1328  979  941
494  1302  915  978
497  1315  974  993
500  1319  975  985

