k size add contains remove
2 100000 915 456 453
5 100000 713 449 438
8 100000 642 442 436
11 100000 626 454 446
14 100000 583 441 434
17 100000 602 452 449
20 100000 594 452 454
23 100000 587 459 458
26 100000 581 457 451
29 100000 565 464 458
32 100000 684 552 511
35 100000 551 449 443
38 100000 553 457 455
41 100000 548 453 452
44 100000 548 457 453
47 100000 549 448 443
50 100000 551 452 452
53 100000 554 457 459
56 100000 555 459 461
59 100000 554 452 454
62 100000 552 456 451
65 100000 559 458 456
68 100000 553 456 456
71 100000 555 466 465
74 100000 546 454 453
77 100000 544 467 463
80 100000 548 469 465
83 100000 546 456 462
86 100000 545 464 464
89 100000 534 458 462
92 100000 533 467 465
95 100000 527 464 463
98 100000 519 469 465
101 100000 527 465 465
104 100000 520 475 473
107 100000 515 468 463
110 100000 514 474 472
113 100000 508 463 469
116 100000 510 463 458
119 100000 509 465 458
122 100000 502 465 463
125 100000 501 467 464
128 100000 503 455 459
131 100000 511 469 463
134 100000 511 463 459
137 100000 511 453 449
140 100000 511 456 455
143 100000 512 453 461
146 100000 511 451 449
149 100000 507 451 453
152 100000 513 456 457
155 100000 509 457 455
158 100000 510 458 456
161 100000 507 455 456
164 100000 521 467 474
167 100000 509 458 459
170 100000 508 452 445
173 100000 518 459 459
176 100000 518 467 469
179 100000 511 453 453
182 100000 514 447 447
185 100000 513 457 462
188 100000 515 457 453
191 100000 515 452 453
194 100000 513 447 449
197 100000 528 463 463
200 100000 528 462 458
203 100000 518 442 441
206 100000 521 455 454
209 100000 522 453 453
212 100000 522 455 453
215 100000 517 447 445
218 100000 518 448 446
221 100000 520 440 448
224 100000 526 456 454
227 100000 521 438 440
230 100000 525 453 449
233 100000 521 444 440
236 100000 523 449 449
239 100000 525 447 445
242 100000 530 448 449
245 100000 526 446 442
248 100000 535 455 455
251 100000 540 441 442
254 100000 557 451 444
257 100000 567 458 455
260 100000 562 444 439
263 100000 562 447 443
266 100000 558 449 445
269 100000 565 451 442
272 100000 571 450 441
275 100000 562 447 442
278 100000 573 455 454
281 100000 572 453 449
284 100000 575 457 448
287 100000 576 452 448
290 100000 581 453 451
293 100000 578 449 446
296 100000 579 457 450
299 100000 584 463 462
302 100000 578 448 446
305 100000 569 454 451
308 100000 573 451 453
311 100000 583 459 458
314 100000 578 446 442
317 100000 576 453 449
320 100000 578 462 458
323 100000 584 444 438
326 100000 583 462 458
329 100000 584 460 457
332 100000 581 461 455
335 100000 590 461 457
338 100000 577 441 441
341 100000 586 464 463
344 100000 589 466 465
347 100000 587 458 450
350 100000 585 460 454
353 100000 583 460 459
356 100000 584 460 461
359 100000 581 453 453
362 100000 586 466 468
365 100000 582 455 455
368 100000 589 475 478
371 100000 587 464 456
374 100000 590 455 448
377 100000 595 472 462
380 100000 592 485 485
383 100000 584 461 455
386 100000 593 471 460
389 100000 587 476 472
392 100000 583 464 457
395 100000 586 477 474
398 100000 586 466 461
401 100000 583 473 473
404 100000 587 473 462
407 100000 587 456 445
410 100000 586 461 457
413 100000 577 466 456
416 100000 581 461 452
419 100000 587 468 463
422 100000 573 458 450
425 100000 574 471 467
428 100000 586 476 470
431 100000 584 474 470
434 100000 584 481 474
437 100000 584 471 463
440 100000 573 467 458
443 100000 572 460 452
446 100000 580 475 466
449 100000 581 481 477
452 100000 577 477 473
455 100000 581 475 470
458 100000 559 465 454
461 100000 569 471 465
464 100000 561 465 459
467 100000 569 477 473
470 100000 561 460 456
473 100000 565 468 460
476 100000 553 473 465
479 100000 557 474 468
482 100000 556 465 460
485 100000 564 494 487
488 100000 561 477 471
491 100000 551 468 463
494 100000 547 474 468
497 100000 554 483 481
500 100000 553 485 476

