k size add contains remove
20 10000 1154 1653 0
20 20000 3130 3862 0
20 30000 5329 6433 0
20 40000 7564 9251 0
20 50000 10086 12387 0
20 60000 12707 15535 0
20 70000 15408 18841 0
20 80000 18168 22561 0
20 90000 21200 26316 0
20 100000 24353 30328 0
20 110000 27548 33948 0
20 120000 30771 37995 0
20 130000 34074 41983 0
20 140000 37428 46163 0
20 150000 40988 50792 0
20 160000 44492 55043 0
20 170000 48082 59066 0
20 180000 51715 64104 0
20 190000 55311 68185 0
20 200000 58816 72821 0
20 210000 62604 77336 0
20 220000 66504 82310 0
20 230000 70266 87300 0
20 240000 74316 91763 0
20 250000 78315 96914 0
20 260000 81995 101599 0
20 270000 86197 106306 0
20 280000 90142 111745 0
20 290000 94299 117025 0
20 300000 98227 121583 0
20 310000 102767 127261 0
20 320000 106723 132126 0
20 330000 110823 138051 0
20 340000 115853 143822 0
20 350000 120305 149358 0
20 360000 124857 154749 0
20 370000 128704 160368 0
20 380000 133185 165835 0
20 390000 137930 171180 0
20 400000 142100 176094 0
20 410000 146263 180732 0
20 420000 150564 187041 0
20 430000 154716 192016 0
20 440000 159913 196792 0
20 450000 164188 203197 0
20 460000 169047 207963 0
20 470000 172820 214630 0
20 480000 178213 220380 0
20 490000 182226 225531 0
20 500000 187417 232533 0
20 510000 191962 237367 0
20 520000 195860 243009 0
20 530000 201847 248760 0
20 540000 205974 254121 0
20 550000 211591 260142 0
20 560000 215581 266150 0
20 570000 220465 272095 0
20 580000 225052 278143 0
20 590000 230135 284328 0
20 600000 234655 288807 0
20 610000 240001 295220 0
20 620000 245545 301904 0
20 630000 250077 307889 0
20 640000 254267 313023 0
20 650000 259921 319701 0
20 660000 265645 325285 0
20 670000 269179 331790 0
20 680000 274956 337963 0
20 690000 279853 344868 0
20 700000 285293 350582 0
20 710000 289536 356549 0
20 720000 295560 362372 0
20 730000 300322 368902 0
20 740000 305098 376145 0
20 750000 310828 381601 0
20 760000 316320 388131 0
20 770000 321326 394769 0
20 780000 325918 400724 0
20 790000 336645 414399 0
20 800000 338646 413616 0
20 810000 343076 421104 0
20 820000 347199 427816 0
20 830000 353659 433802 0
20 840000 358910 439369 0
20 850000 363723 444979 0
20 860000 369593 451127 0
20 870000 374919 459487 0
20 880000 380081 466543 0
20 890000 385259 470924 0
20 900000 390487 478084 0
20 910000 394932 485385 0
20 920000 401086 491595 0
20 930000 407663 498122 2
20 940000 412002 504213 0
20 950000 417049 512060 0
20 960000 421717 517241 0
20 970000 427561 524142 0
20 980000 433004 531541 0
20 990000 438721 537569 0
20 1000000 444948 544145 0

