k size add contains remove
20 10000 27 21 20
20 20000 49 43 43
20 30000 84 79 78
20 40000 137 124 124
20 50000 202 181 183
20 60000 272 245 245
20 70000 344 309 309
20 80000 425 380 384
20 90000 518 470 470
20 100000 595 541 547
20 110000 704 620 625
20 120000 780 705 708
20 130000 871 794 795
20 140000 976 885 891
20 150000 1065 972 975
20 160000 1174 1077 1077
20 170000 1278 1170 1172
20 180000 1379 1260 1266
20 190000 1483 1361 1362
20 200000 1593 1459 1459
20 210000 1699 1555 1565
20 220000 1812 1666 1668
20 230000 1923 1775 1767
20 240000 2055 1878 1890
20 250000 2150 1986 1976
20 260000 2261 2087 2090
20 270000 2393 2192 2203
20 280000 2493 2301 2304
20 290000 2617 2408 2419
20 300000 2747 2540 2545
20 310000 2852 2632 2636
20 320000 2992 2757 2771
20 330000 3102 2861 2866
20 340000 3277 3032 3034
20 350000 3440 3180 3190
20 360000 3552 3283 3292
20 370000 3683 3415 3433
20 380000 3812 3522 3536
20 390000 4032 3551 3557
20 400000 4064 3615 3631
20 410000 4096 3695 3705
20 420000 4220 3970 4066
20 430000 4417 3866 3879
20 440000 4492 3992 3998
20 450000 4565 4083 4101
20 460000 4661 4229 4238
20 470000 4826 4427 4437
20 480000 5011 4403 4408
20 490000 5103 4516 4525
20 500000 5202 4658 4665
20 510000 5273 4767 4773
20 520000 5430 4922 4947
20 530000 5675 4938 4940
20 540000 5761 5046 5053
20 550000 5841 5171 5187
20 560000 5952 5297 5315
20 570000 6030 5405 5426
20 580000 6200 5573 5594
20 590000 6289 5685 5717
20 600000 6438 5858 5872
20 610000 6670 5792 5809
20 620000 6745 5895 5922
20 630000 6879 6036 6056
20 640000 6993 6190 6203
20 650000 7085 6306 6334
20 660000 7187 6425 6450
20 670000 7355 6626 6647
20 680000 7446 6723 6745
20 690000 7667 6944 6964
20 700000 7918 6837 6847
20 710000 8030 6973 6997
20 720000 8130 7077 7097
20 730000 8213 7197 7228
20 740000 8314 7321 7342
20 750000 8481 7489 7514
20 760000 8538 7567 7596
20 770000 8641 7732 7753
20 780000 8842 7679 7715
20 790000 8947 7814 7869
20 800000 10361 9256 9272
20 810000 9371 8147 8226
20 820000 9437 8515 8526
20 830000 9715 8244 8317
20 840000 9944 8261 8317
20 850000 9834 8381 8416
20 860000 9959 8548 8604
20 870000 10018 8647 8673
20 880000 10156 8808 8843
20 890000 10284 8958 8978
20 900000 10443 9008 9057
20 910000 10572 9159 9220
20 920000 10662 9315 9371
20 930000 10789 9471 9523
20 940000 11072 9550 9601
20 950000 11177 9692 9756
20 960000 11258 9834 9878
20 970000 11544 10038 10113
20 980000 11618 10119 10183
20 990000 11656 10322 10371
20 1000000 11889 10470 10509

