k,add,contains,remove
2, 16070, 17046, 0
5, 24433, 27026, 0
8, 29433, 32550, 0
11, 36320, 41331, 0
14, 40173, 46556, 0
17, 43313, 51291, 0
20, 50312, 60052, 0
23, 57821, 70781, 0
26, 59693, 73311, 0
29, 59666, 75202, 0
32, 66600, 81840, 0
35, 70131, 86096, 0
38, 75581, 97339, 0
41, 81435, 103933, 0
44, 82401, 108860, 0
47, 86562, 111734, 0
50, 89076, 120313, 0
53, 88989, 121129, 0
56, 87790, 122826, 0
59, 88376, 123744, 0
62, 86667, 122758, 0
65, 89800, 129342, 0
68, 93334, 132491, 0
71, 90291, 128621, 0
74, 91265, 127654, 0
77, 93382, 132979, 0
80, 91751, 130782, 0
83, 95481, 136879, 0
86, 96273, 139632, 0
89, 73901, 138313, 0
92, 74410, 137605, 0
95, 75235, 144003, 0
98, 74624, 141598, 0
101, 71924, 146226, 0
104, 69339, 142150, 0
107, 68524, 147323, 0
110, 66766, 148678, 0
113, 64221, 148357, 0
116, 64434, 149901, 0
119, 62937, 152556, 0
122, 62024, 154341, 0
125, 59363, 156251, 0
128, 48515, 158903, 0
131, 46419, 166241, 0
134, 47839, 172731, 0
137, 25814, 179314, 0
140, 3278, 2876, 0
143, 3374, 3336, 0
146, 2825, 2814, 0
149, 2862, 2487, 0
152, 3133, 2579, 0
155, 3109, 2830, 0
158, 3116, 2788, 0
161, 3497, 3217, 0
164, 3143, 3068, 0
167, 3274, 3119, 0
170, 2976, 3187, 0
173, 3312, 3145, 0
176, 3312, 2922, 0
179, 3157, 3093, 0
182, 3295, 3332, 0
185, 3237, 3280, 0
188, 3069, 2978, 0
191, 3280, 3233, 0
194, 3451, 3173, 0
197, 3405, 3235, 0
200, 3167, 3086, 0
203, 3457, 3211, 0
206, 3455, 3157, 0
209, 3394, 3423, 0
212, 3264, 3432, 0
215, 3225, 3378, 0
218, 3722, 3310, 0
221, 3380, 3431, 0
224, 3408, 3341, 0
227, 3655, 3580, 0
230, 3932, 3281, 0
233, 3995, 3823, 0
236, 3499, 3638, 0
239, 3408, 3531, 0
242, 3969, 3450, 0
245, 3351, 3448, 0
248, 3325, 3106, 0
251, 3414, 3395, 0
254, 3687, 3614, 0
257, 3608, 3743, 0
260, 3599, 3627, 0
263, 3586, 3661, 0
266, 3520, 3635, 0
269, 3499, 3322, 0
272, 3686, 4124, 0
275, 3945, 3486, 0
278, 3689, 3934, 0
281, 3774, 3471, 0
284, 3787, 4040, 0
287, 4411, 4045, 0
290, 3791, 3930, 0
293, 3912, 3638, 0
296, 3750, 3703, 0
299, 3757, 3853, 0
302, 3628, 3677, 0
305, 3654, 3668, 0
308, 3577, 3646, 0
311, 3611, 3918, 0
314, 3794, 3836, 0
317, 3587, 3810, 0
320, 3926, 3508, 0
323, 3790, 3604, 0
326, 4057, 3763, 0
329, 3950, 3772, 0
332, 4111, 4005, 0
335, 4195, 4153, 0
338, 3861, 3675, 0
341, 4014, 3898, 0
344, 3868, 3646, 0
347, 3832, 3699, 0
350, 4144, 4156, 0
353, 4054, 4178, 0
356, 4109, 3951, 0
359, 3790, 4225, 0
362, 4152, 3693, 0
365, 4189, 4541, 0
368, 4156, 4011, 0
371, 4309, 4023, 0
374, 4247, 4198, 0
377, 4120, 4201, 0
380, 4222, 3897, 0
383, 4540, 3876, 0
386, 4345, 4209, 0
389, 4347, 4071, 0
392, 4204, 4316, 0
395, 4155, 4148, 0
398, 4328, 4119, 0
401, 4308, 4401, 0
404, 4262, 4571, 0
407, 4406, 4229, 0
410, 4361, 4259, 0
413, 4459, 4487, 0
416, 4439, 4185, 0
419, 4693, 4517, 0
422, 4215, 4235, 0
425, 4426, 4602, 0
428, 4528, 4643, 0
431, 4559, 4262, 0
434, 4584, 4439, 0
437, 4602, 4051, 0
440, 4706, 4498, 0
443, 4599, 4436, 1
446, 4326, 4502, 0
449, 4693, 4243, 0
452, 4505, 4721, 0
455, 4634, 4716, 0
458, 4726, 4704, 0
461, 5041, 5187, 0
464, 4849, 4673, 0
467, 4598, 4526, 0
470, 4704, 5039, 0
473, 4741, 4599, 0
476, 4927, 4699, 0
479, 4789, 4638, 0
482, 4916, 4617, 0
485, 4822, 4705, 0
488, 4755, 4936, 0
491, 5268, 4559, 0
494, 5059, 4711, 0
497, 5008, 4646, 0
500, 4628, 4801, 0

