k size add contains remove
2 100000 1393 632 634
5 100000 734 446 432
8 100000 684 454 446
11 100000 682 444 430
14 100000 662 443 434
17 100000 685 451 442
20 100000 684 448 445
23 100000 695 452 439
26 100000 680 446 439
29 100000 661 445 436
32 100000 665 440 431
35 100000 678 441 437
38 100000 668 446 443
41 100000 675 444 437
44 100000 674 447 442
47 100000 671 443 433
50 100000 677 444 438
53 100000 665 437 427
56 100000 661 446 437
59 100000 654 436 430
62 100000 645 446 439
65 100000 648 442 440
68 100000 654 446 439
71 100000 659 444 435
74 100000 660 454 450
77 100000 672 445 434
80 100000 675 442 435
83 100000 682 449 441
86 100000 676 445 436
89 100000 672 446 438
92 100000 669 448 441
95 100000 672 448 440
98 100000 670 448 438
101 100000 667 447 440
104 100000 654 449 438
107 100000 651 446 434
110 100000 669 439 424
113 100000 656 445 438
116 100000 655 438 427
119 100000 656 439 431
122 100000 651 445 436
125 100000 655 442 438
128 100000 651 442 433
131 100000 657 442 435
134 100000 648 444 437
137 100000 654 442 432
140 100000 655 442 440
143 100000 660 442 435
146 100000 657 450 450
149 100000 658 444 436
152 100000 672 435 428
155 100000 669 440 431
158 100000 667 440 435
161 100000 659 442 439
164 100000 670 447 436
167 100000 667 443 436
170 100000 672 447 437
173 100000 675 442 437
176 100000 672 448 438
179 100000 669 446 442
182 100000 676 448 445
185 100000 673 441 429
188 100000 669 449 445
191 100000 663 450 440
194 100000 666 448 441
197 100000 665 448 442
200 100000 669 439 430
203 100000 659 442 435
206 100000 659 445 440
209 100000 646 447 440
212 100000 654 445 432
215 100000 655 435 429
218 100000 650 448 444
221 100000 650 445 438
224 100000 647 447 438
227 100000 642 443 433
230 100000 640 449 446
233 100000 637 438 435
236 100000 636 433 423
239 100000 631 441 437
242 100000 632 434 427
245 100000 626 440 437
248 100000 646 425 416
251 100000 631 435 427
254 100000 649 449 444
257 100000 637 437 429
260 100000 642 441 440
263 100000 644 440 434
266 100000 646 449 446
269 100000 638 447 446
272 100000 645 442 435
275 100000 655 440 438
278 100000 652 436 437
281 100000 659 443 440
284 100000 659 440 436
287 100000 657 441 432
290 100000 657 441 431
293 100000 652 446 448
296 100000 667 454 449
299 100000 668 443 435
302 100000 664 443 438
305 100000 667 439 436
308 100000 676 443 438
311 100000 679 443 433
314 100000 678 453 442
317 100000 678 441 431
320 100000 673 438 429
323 100000 676 448 441
326 100000 680 436 429
329 100000 680 447 437
332 100000 687 442 429
335 100000 686 444 437
338 100000 693 445 440
341 100000 688 442 433
344 100000 690 443 432
347 100000 680 442 429
350 100000 692 451 438
353 100000 686 441 436
356 100000 686 446 441
359 100000 687 444 436
362 100000 686 441 426
365 100000 695 444 433
368 100000 685 448 438
371 100000 697 450 438
374 100000 680 446 437
377 100000 677 453 441
380 100000 694 447 437
383 100000 678 436 430
386 100000 677 451 441
389 100000 667 452 439
392 100000 659 452 440
395 100000 657 449 438
398 100000 666 442 428
401 100000 658 449 443
404 100000 648 452 445
407 100000 650 458 445
410 100000 649 446 442
413 100000 646 443 440
416 100000 656 445 434
419 100000 644 448 439
422 100000 638 441 430
425 100000 638 446 438
428 100000 639 450 442
431 100000 633 448 444
434 100000 633 445 438
437 100000 637 438 434
440 100000 624 453 441
443 100000 629 443 435
446 100000 622 450 442
449 100000 628 445 438
452 100000 622 446 439
455 100000 622 450 438
458 100000 616 446 436
461 100000 626 449 447
464 100000 621 448 440
467 100000 621 444 436
470 100000 619 451 440
473 100000 616 435 430
476 100000 611 439 437
479 100000 619 445 439
482 100000 615 438 431
485 100000 616 450 447
488 100000 612 439 438
491 100000 619 442 440
494 100000 623 433 429
497 100000 612 433 431
500 100000 619 432 433

